HUGO symbols	Cell population
CD28	T_cell
CD3D	T_cell
CD3G	T_cell
CD5	T_cell
CD6	T_cell
CHRM3-AS2	T_cell
CTLA4	T_cell
FLT3LG	T_cell
ICOS	T_cell
MAL	T_cell
MGC40069	T_cell
PBX4	T_cell
SIRPG	T_cell
THEMIS	T_cell
TNFRSF25	T_cell
TRAT1	T_cell
BANK1	B_cell
CD19	B_cell
CD22	B_cell
CD79A	B_cell
CR2	B_cell
FCRL2	B_cell
IGKC	B_cell
MS4A1	B_cell
PAX5	B_cell
CD160	NK_cell
KIR2DL1	NK_cell
KIR2DL3	NK_cell
KIR2DL4	NK_cell
KIR3DL1	NK_cell
KIR3DS1	NK_cell
NCR1	NK_cell
PTGDR	NK_cell
SH2D1B	NK_cell
ADAP2	Macrophage_Microglia
CSF1R	Macrophage_Microglia
FPR3	Macrophage_Microglia
KYNU	Macrophage_Microglia
PLA2G7	Macrophage_Microglia
RASSF4	Macrophage_Microglia
TFEC	Macrophage_Microglia
ACVRL1	Endothelial
APLN	Endothelial
BCL6B	Endothelial
BMP6	Endothelial
BMX	Endothelial
CDH5	Endothelial
CLEC14A	Endothelial
DIPK2B	Endothelial
EDN1	Endothelial
ADGRL4	Endothelial
EMCN	Endothelial
ESAM	Endothelial
ESM1	Endothelial
FAM124B	Endothelial
HECW2	Endothelial
HHIP	Endothelial
KDR	Endothelial
MMRN1	Endothelial
MMRN2	Endothelial
MYCT1	Endothelial
PALMD	Endothelial
PEAR1	Endothelial
PGF	Endothelial
PLXNA2	Endothelial
PTPRB	Endothelial
ROBO4	Endothelial
C	Endothelial
SHANK3	Endothelial
SHE	Endothelial
TEK	Endothelial
TIE1	Endothelial
VEPH1	Endothelial
VWF	Endothelial
